LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M,,,,13.8,18.11,11.76
-37.81599,144.98461,2020,11,11,4.46,4.26,9.02,5.71,13.48,9.98,10.79,7.44,,,,,,
-37.81599,144.98461,2020,11,12,3.68,4.47,7.08,3.83,10.76,8.3,8.77,6.06,,,,,,
-37.81599,144.98461,2020,11,13,2.52,1.81,4.14,2.85,6.66,4.66,5.03,3.74,,,,,,
-37.81599,144.98461,2020,11,14,1.23,1.53,2.84,1.81,4.07,3.34,3.41,2.51,,,,,,
-37.81599,144.98461,2020,11,15,13.8,9.86,3.88,2.36,17.68,12.23,11.62,7.77,,,,,,
-37.81599,144.98461,2020,11,16,11.2,8.69,5.72,3.24,16.92,11.93,10.48,7.73,,,,,,
-37.81599,144.98461,2020,11,17,2.66,2.34,4.1,2.65,6.76,5,5.38,3.91,,,,,,
-37.81599,144.98461,2020,11,18,5.13,2.65,0.9,0.56,6.03,3.2,3.16,2.09,,,,,,
-37.81599,144.98461,2020,11,19,4.21,3.87,6.58,3.41,10.79,7.27,8.26,5.06,,,,,,
-37.81599,144.98461,2020,11,20,1.52,2.7,5.37,3.25,6.89,5.95,5.94,4.6,,,,,,
-37.81599,144.98461,2020,11,21,4.81,3.03,0.83,0.56,5.64,3.59,3.54,2.31,,,,,,
-37.81599,144.98461,2020,11,22,6.25,4.02,0.59,0.15,6.84,4.16,3.86,2.57,,,,,,
-37.81599,144.98461,2020,11,23,6.28,6.35,3.2,1.66,9.48,8.01,6.7,5.18,,,,,,
-37.81599,144.98461,2020,11,24,3.74,2.74,2.01,1.28,5.75,4.01,4.14,3.08,,,,,,
-37.81599,144.98461,2020,11,25,3.88,3.1,1.28,0.91,5.15,4.01,3.63,2.62,,,,,,
-37.81599,144.98461,2020,11,26,3.9,4.4,2.27,1.44,6.17,5.84,5.11,4.08,,,,,,
-37.81599,144.98461,2020,11,27,8.51,6.17,1.76,1.11,10.27,7.28,5.48,3.72,,,,,,
-37.81599,144.98461,2020,11,28,4.77,3.92,1.56,1.46,6.32,5.37,4.35,3.4,,,,,,
-37.81599,144.98461,2020,11,29,9.72,8.05,4.8,3.02,14.51,11.07,8,6.26,,,,,,
-37.81599,144.98461,2020,11,30,4.04,2.84,1.04,0.59,5.07,3.43,3.21,2.16,,,,,,
-37.81599,144.98461,2020,12,1,8.75,7.76,4.25,2.38,13,10.14,9.99,6.91,,,,,,
-37.81599,144.98461,2020,12,2,2.61,3.16,4.93,2.9,7.54,6.07,6.07,4.52,,,,,,
-37.81599,144.98461,2020,12,3,4.24,2.87,0.95,0.86,5.19,3.73,3.12,2.3,,,,,,
-37.81599,144.98461,2020,12,4,2.33,2.46,2.96,1.85,5.29,4.31,4.39,3.33,,,,,,
-37.81599,144.98461,2020,12,5,12.33,9.75,3.02,1.85,15.35,11.61,10.18,7.29,,,,,,
-37.81599,144.98461,2020,12,6,3.43,3.68,9.52,6.23,12.95,9.91,11.28,8.45,,,,,,
-37.81599,144.98461,2020,12,7,6.28,5.12,7.3,4.81,13.58,9.93,8.95,6.74,,,,,,
